,filename,num_rows,filesize_MB,central_ra,central_dec
22674,chunk_ra_17.5_dec_33.5_table.h5,55415,7.710030555725098,17.5,33.5
22675,chunk_ra_18.5_dec_31.5_table.h5,48980,6.897673606872559,18.5,31.5
22676,chunk_ra_18.5_dec_32.5_table.h5,58696,8.087443351745605,18.5,32.5
22677,chunk_ra_18.5_dec_33.5_table.h5,57546,7.95848274230957,18.5,33.5
22678,chunk_ra_19.5_dec_31.5_table.h5,53008,7.378045082092285,19.5,31.5
22679,chunk_ra_19.5_dec_32.5_table.h5,58571,8.040308952331543,19.5,32.5
22680,chunk_ra_19.5_dec_33.5_table.h5,63138,8.588700294494629,19.5,33.5
22681,chunk_ra_20.5_dec_31.5_table.h5,54546,7.51923942565918,20.5,31.5
22682,chunk_ra_20.5_dec_32.5_table.h5,53154,7.380115509033203,20.5,32.5
22683,chunk_ra_20.5_dec_33.5_table.h5,58063,8.006625175476074,20.5,33.5
22684,chunk_ra_21.5_dec_31.5_table.h5,51240,7.1869964599609375,21.5,31.5
22685,chunk_ra_21.5_dec_32.5_table.h5,51876,7.278655052185059,21.5,32.5
22686,chunk_ra_21.5_dec_33.5_table.h5,52938,7.397738456726074,21.5,33.5
22687,chunk_ra_22.5_dec_31.5_table.h5,50624,7.134525299072266,22.5,31.5
22688,chunk_ra_22.5_dec_32.5_table.h5,58066,8.006237983703613,22.5,32.5
22689,chunk_ra_22.5_dec_33.5_table.h5,56385,7.799696922302246,22.5,33.5
22690,chunk_ra_23.5_dec_31.5_table.h5,82581,10.883580207824709,23.5,31.5
22691,chunk_ra_23.5_dec_32.5_table.h5,54777,7.635342597961426,23.5,32.5
22692,chunk_ra_23.5_dec_33.5_table.h5,54364,7.551748275756836,23.5,33.5
22693,chunk_ra_24.5_dec_31.5_table.h5,49963,7.046276092529297,24.5,31.5
22694,chunk_ra_24.5_dec_32.5_table.h5,49405,7.003518104553223,24.5,32.5
22695,chunk_ra_24.5_dec_33.5_table.h5,50278,7.074704170227051,24.5,33.5
22696,chunk_ra_25.5_dec_31.5_table.h5,54611,7.600568771362305,25.5,31.5
22697,chunk_ra_25.5_dec_32.5_table.h5,54882,7.657987594604492,25.5,32.5
22698,chunk_ra_25.5_dec_33.5_table.h5,52422,7.334909439086914,25.5,33.5
22699,chunk_ra_26.5_dec_31.5_table.h5,51193,7.204738616943359,26.5,31.5
22700,chunk_ra_26.5_dec_32.5_table.h5,55443,7.724915504455566,26.5,32.5
22701,chunk_ra_26.5_dec_33.5_table.h5,53176,7.403173446655273,26.5,33.5
22702,chunk_ra_27.5_dec_31.5_table.h5,54699,7.634839057922363,27.5,31.5
22703,chunk_ra_27.5_dec_32.5_table.h5,60866,8.358137130737305,27.5,32.5
22704,chunk_ra_27.5_dec_33.5_table.h5,53342,7.5006208419799805,27.5,33.5
22705,chunk_ra_28.5_dec_31.5_table.h5,54319,7.541126251220703,28.5,31.5
22706,chunk_ra_28.5_dec_32.5_table.h5,58309,8.033811569213867,28.5,32.5
22707,chunk_ra_28.5_dec_33.5_table.h5,54134,7.570300102233887,28.5,33.5
22708,chunk_ra_29.5_dec_31.5_table.h5,58968,8.110109329223633,29.5,31.5
22709,chunk_ra_29.5_dec_32.5_table.h5,59628,8.199688911437988,29.5,32.5
22710,chunk_ra_29.5_dec_33.5_table.h5,50009,7.087736129760742,29.5,33.5
22711,chunk_ra_30.5_dec_31.5_table.h5,53992,7.545914649963379,30.5,31.5
22712,chunk_ra_30.5_dec_32.5_table.h5,60125,8.268072128295898,30.5,32.5
22713,chunk_ra_30.5_dec_33.5_table.h5,52875,7.425285339355469,30.5,33.5
22714,chunk_ra_31.5_dec_31.5_table.h5,50221,7.070236206054688,31.5,31.5
22715,chunk_ra_31.5_dec_32.5_table.h5,55511,7.731021881103516,31.5,32.5
22716,chunk_ra_31.5_dec_33.5_table.h5,54671,7.648565292358398,31.5,33.5
22717,chunk_ra_32.5_dec_31.5_table.h5,55588,7.721248626708984,32.5,31.5
22718,chunk_ra_32.5_dec_32.5_table.h5,52759,7.420110702514648,32.5,32.5
22719,chunk_ra_32.5_dec_33.5_table.h5,50232,7.112354278564453,32.5,33.5
22720,chunk_ra_33.5_dec_31.5_table.h5,62175,8.50899600982666,33.5,31.5
22721,chunk_ra_33.5_dec_32.5_table.h5,57359,7.988864898681641,33.5,32.5
22722,chunk_ra_33.5_dec_33.5_table.h5,52869,7.441892623901367,33.5,33.5
22723,chunk_ra_34.5_dec_31.5_table.h5,59177,8.15735149383545,34.5,31.5
22724,chunk_ra_34.5_dec_32.5_table.h5,59724,8.233749389648438,34.5,32.5
22725,chunk_ra_34.5_dec_33.5_table.h5,64806,8.838970184326172,34.5,33.5
22726,chunk_ra_35.5_dec_31.5_table.h5,63624,8.688222885131836,35.5,31.5
22727,chunk_ra_35.5_dec_32.5_table.h5,61566,8.471976280212402,35.5,32.5
22728,chunk_ra_35.5_dec_33.5_table.h5,53255,7.492732048034668,35.5,33.5
22729,chunk_ra_36.5_dec_31.5_table.h5,64594,8.770346641540527,36.5,31.5
22730,chunk_ra_36.5_dec_32.5_table.h5,65704,8.951884269714355,36.5,32.5
22731,chunk_ra_36.5_dec_33.5_table.h5,64976,8.846016883850098,36.5,33.5
22732,chunk_ra_37.5_dec_31.5_table.h5,63625,8.693389892578125,37.5,31.5
22733,chunk_ra_37.5_dec_32.5_table.h5,62966,8.654703140258789,37.5,32.5
